reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2023-12-02,wk inc covid hosp,-1,2023-11-25,01,quantile,0.010,170.950797
2023-12-02,wk inc covid hosp,-1,2023-11-25,01,quantile,0.025,178.390011
2023-12-02,wk inc covid hosp,-1,2023-11-25,01,quantile,0.050,183.265498
2023-12-02,wk inc covid hosp,-1,2023-11-25,01,quantile,0.100,190.006716
2023-12-02,wk inc covid hosp,-1,2023-11-25,01,quantile,0.150,193.664389
2023-12-02,wk inc covid hosp,-1,2023-11-25,01,quantile,0.200,196.944838
2023-12-02,wk inc covid hosp,-1,2023-11-25,01,quantile,0.250,199.793322
2023-12-02,wk inc covid hosp,-1,2023-11-25,01,quantile,0.300,202.861230
2023-12-02,wk inc covid hosp,-1,2023-11-25,01,quantile,0.350,205.044987
2023-12-02,wk inc covid hosp,-1,2023-11-25,01,quantile,0.400,206.792112
2023-12-02,wk inc covid hosp,-1,2023-11-25,01,quantile,0.450,209.004836
2023-12-02,wk inc covid hosp,-1,2023-11-25,01,quantile,0.500,210.760250
2023-12-02,wk inc covid hosp,-1,2023-11-25,01,quantile,0.550,214.224161
2023-12-02,wk inc covid hosp,-1,2023-11-25,01,quantile,0.600,216.229166
2023-12-02,wk inc covid hosp,-1,2023-11-25,01,quantile,0.650,218.886070
2023-12-02,wk inc covid hosp,-1,2023-11-25,01,quantile,0.700,221.908282
2023-12-02,wk inc covid hosp,-1,2023-11-25,01,quantile,0.750,224.937522
2023-12-02,wk inc covid hosp,-1,2023-11-25,01,quantile,0.800,228.385859
2023-12-02,wk inc covid hosp,-1,2023-11-25,01,quantile,0.850,231.258692
2023-12-02,wk inc covid hosp,-1,2023-11-25,01,quantile,0.900,235.659001
2023-12-02,wk inc covid hosp,-1,2023-11-25,01,quantile,0.950,239.919346
2023-12-02,wk inc covid hosp,-1,2023-11-25,01,quantile,0.975,245.043850
2023-12-02,wk inc covid hosp,-1,2023-11-25,01,quantile,0.990,247.192924
2023-12-02,wk covid hosp rate change,-1,2023-11-25,01,pmf,stable,0.984000
2023-12-02,wk covid hosp rate change,-1,2023-11-25,01,pmf,increase,0.000000
