reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2023-11-11,wk inc covid hosp,-1,2023-11-04,01,quantile,0.010,198.216750
2023-11-11,wk inc covid hosp,-1,2023-11-04,01,quantile,0.025,202.580911
2023-11-11,wk inc covid hosp,-1,2023-11-04,01,quantile,0.050,207.568987
2023-11-11,wk inc covid hosp,-1,2023-11-04,01,quantile,0.100,211.774796
2023-11-11,wk inc covid hosp,-1,2023-11-04,01,quantile,0.150,215.712412
2023-11-11,wk inc covid hosp,-1,2023-11-04,01,quantile,0.200,219.289092
2023-11-11,wk inc covid hosp,-1,2023-11-04,01,quantile,0.250,221.860251
2023-11-11,wk inc covid hosp,-1,2023-11-04,01,quantile,0.300,223.739952
2023-11-11,wk inc covid hosp,-1,2023-11-04,01,quantile,0.350,225.712373
2023-11-11,wk inc covid hosp,-1,2023-11-04,01,quantile,0.400,228.106735
2023-11-11,wk inc covid hosp,-1,2023-11-04,01,quantile,0.450,231.181749
2023-11-11,wk inc covid hosp,-1,2023-11-04,01,quantile,0.500,233.890672
2023-11-11,wk inc covid hosp,-1,2023-11-04,01,quantile,0.550,237.148382
2023-11-11,wk inc covid hosp,-1,2023-11-04,01,quantile,0.600,240.262622
2023-11-11,wk inc covid hosp,-1,2023-11-04,01,quantile,0.650,244.549511
2023-11-11,wk inc covid hosp,-1,2023-11-04,01,quantile,0.700,247.865439
2023-11-11,wk inc covid hosp,-1,2023-11-04,01,quantile,0.750,251.835074
2023-11-11,wk inc covid hosp,-1,2023-11-04,01,quantile,0.800,257.812971
2023-11-11,wk inc covid hosp,-1,2023-11-04,01,quantile,0.850,264.931832
2023-11-11,wk inc covid hosp,-1,2023-11-04,01,quantile,0.900,271.737614
2023-11-11,wk inc covid hosp,-1,2023-11-04,01,quantile,0.950,286.735352
2023-11-11,wk inc covid hosp,-1,2023-11-04,01,quantile,0.975,302.257786
2023-11-11,wk inc covid hosp,-1,2023-11-04,01,quantile,0.990,324.465433
2023-11-11,wk covid hosp rate change,-1,2023-11-04,01,pmf,stable,0.852000
2023-11-11,wk covid hosp rate change,-1,2023-11-04,01,pmf,increase,0.014000
2023-11-11,wk covid hosp rate change,-1,2023-11-04,01,pmf,large_increase,0.004000
2023-11-11,wk covid hosp rate change,-1,2023-11-04,01,pmf,decrease,0.128000
2023-11-11,wk covid hosp rate change,-1,2023-11-04,01,pmf,large_decrease,0.002000
2023-11-11,wk inc covid hosp,0,2023-11-11,01,quantile,0.010,163.269068
2023-11-11,wk inc covid hosp,0,2023-11-11,01,quantile,0.025,169.764139
2023-11-11,wk inc covid hosp,0,2023-11-11,01,quantile,0.050,175.112263
2023-11-11,wk inc covid hosp,0,2023-11-11,01,quantile,0.100,183.660612
2023-11-11,wk inc covid hosp,0,2023-11-11,01,quantile,0.150,189.332363
2023-11-11,wk inc covid hosp,0,2023-11-11,01,quantile,0.200,193.933294
2023-11-11,wk inc covid hosp,0,2023-11-11,01,quantile,0.250,197.425909
2023-11-11,wk inc covid hosp,0,2023-11-11,01,quantile,0.300,200.058376
2023-11-11,wk inc covid hosp,0,2023-11-11,01,quantile,0.350,203.451655
2023-11-11,wk inc covid hosp,0,2023-11-11,01,quantile,0.400,207.191113
2023-11-11,wk inc covid hosp,0,2023-11-11,01,quantile,0.450,211.497986
2023-11-11,wk inc covid hosp,0,2023-11-11,01,quantile,0.500,214.272120
2023-11-11,wk inc covid hosp,0,2023-11-11,01,quantile,0.550,218.473428
2023-11-11,wk inc covid hosp,0,2023-11-11,01,quantile,0.600,222.637823
2023-11-11,wk inc covid hosp,0,2023-11-11,01,quantile,0.650,228.295404
2023-11-11,wk inc covid hosp,0,2023-11-11,01,quantile,0.700,233.806006
2023-11-11,wk inc covid hosp,0,2023-11-11,01,quantile,0.750,241.862018
2023-11-11,wk inc covid hosp,0,2023-11-11,01,quantile,0.800,251.236190
2023-11-11,wk inc covid hosp,0,2023-11-11,01,quantile,0.850,260.570729
2023-11-11,wk inc covid hosp,0,2023-11-11,01,quantile,0.900,267.279106
2023-11-11,wk inc covid hosp,0,2023-11-11,01,quantile,0.950,301.012931
2023-11-11,wk inc covid hosp,0,2023-11-11,01,quantile,0.975,323.117223
2023-11-11,wk inc covid hosp,0,2023-11-11,01,quantile,0.990,351.625404
2023-11-11,wk covid hosp rate change,0,2023-11-11,01,pmf,stable,0.478000
2023-11-11,wk covid hosp rate change,0,2023-11-11,01,pmf,increase,0.026000
2023-11-11,wk covid hosp rate change,0,2023-11-11,01,pmf,large_increase,0.004000
2023-11-11,wk covid hosp rate change,0,2023-11-11,01,pmf,decrease,0.492000
2023-11-11,wk covid hosp rate change,0,2023-11-11,01,pmf,large_decrease,0.000000
2023-11-11,wk inc covid hosp,1,2023-11-18,01,quantile,0.010,122.704666
2023-11-11,wk inc covid hosp,1,2023-11-18,01,quantile,0.025,132.116770
2023-11-11,wk inc covid hosp,1,2023-11-18,01,quantile,0.050,140.726230
2023-11-11,wk inc covid hosp,1,2023-11-18,01,quantile,0.100,154.033245
2023-11-11,wk inc covid hosp,1,2023-11-18,01,quantile,0.150,160.921895
2023-11-11,wk inc covid hosp,1,2023-11-18,01,quantile,0.200,167.259444
2023-11-11,wk inc covid hosp,1,2023-11-18,01,quantile,0.250,171.037290
2023-11-11,wk inc covid hosp,1,2023-11-18,01,quantile,0.300,175.953902
2023-11-11,wk inc covid hosp,1,2023-11-18,01,quantile,0.350,179.189925
2023-11-11,wk inc covid hosp,1,2023-11-18,01,quantile,0.400,184.808608
2023-11-11,wk inc covid hosp,1,2023-11-18,01,quantile,0.450,190.816571
2023-11-11,wk inc covid hosp,1,2023-11-18,01,quantile,0.500,195.588667
2023-11-11,wk inc covid hosp,1,2023-11-18,01,quantile,0.550,200.153270
2023-11-11,wk inc covid hosp,1,2023-11-18,01,quantile,0.600,203.822455
2023-11-11,wk inc covid hosp,1,2023-11-18,01,quantile,0.650,211.927104
2023-11-11,wk inc covid hosp,1,2023-11-18,01,quantile,0.700,220.803926
2023-11-11,wk inc covid hosp,1,2023-11-18,01,quantile,0.750,230.474291
2023-11-11,wk inc covid hosp,1,2023-11-18,01,quantile,0.800,239.005882
2023-11-11,wk inc covid hosp,1,2023-11-18,01,quantile,0.850,252.211791
2023-11-11,wk inc covid hosp,1,2023-11-18,01,quantile,0.900,265.543168
2023-11-11,wk inc covid hosp,1,2023-11-18,01,quantile,0.950,299.606040
2023-11-11,wk inc covid hosp,1,2023-11-18,01,quantile,0.975,343.105003
2023-11-11,wk inc covid hosp,1,2023-11-18,01,quantile,0.990,383.921658
2023-11-11,wk covid hosp rate change,1,2023-11-18,01,pmf,stable,0.818000
2023-11-11,wk covid hosp rate change,1,2023-11-18,01,pmf,increase,0.012000
2023-11-11,wk covid hosp rate change,1,2023-11-18,01,pmf,large_increase,0.002000
2023-11-11,wk covid hosp rate change,1,2023-11-18,01,pmf,decrease,0.168000
2023-11-11,wk covid hosp rate change,1,2023-11-18,01,pmf,large_decrease,0.000000
2023-11-11,wk inc covid hosp,2,2023-11-25,01,quantile,0.010,89.826880
