origin_date,target,horizon,location,age_group,output_type,output_type_id,value
2025-03-23,inc hosp,0,06,0-0.99,quantile,0.01,0
2025-03-23,inc hosp,0,06,0-0.99,quantile,0.025,0
2025-03-23,inc hosp,0,06,0-0.99,quantile,0.05,0.848808333333331
2025-03-23,inc hosp,0,06,0-0.99,quantile,0.1,5.39950833333333
2025-03-23,inc hosp,0,06,0-0.99,quantile,0.15,7.52054166666667
2025-03-23,inc hosp,0,06,0-0.99,quantile,0.2,9.15564166666667
2025-03-23,inc hosp,0,06,0-0.99,quantile,0.25,11.9793083333333
2025-03-23,inc hosp,0,06,0-0.99,quantile,0.3,13.857375
2025-03-23,inc hosp,0,06,0-0.99,quantile,0.35,14.9737083333333
2025-03-23,inc hosp,0,06,0-0.99,quantile,0.4,16.9568416666667
2025-03-23,inc hosp,0,06,0-0.99,quantile,0.45,18.7561083333333
2025-03-23,inc hosp,0,06,0-0.99,quantile,0.5,20.4897083333333
2025-03-23,inc hosp,0,06,0-0.99,quantile,0.55,22.3612083333333
2025-03-23,inc hosp,0,06,0-0.99,quantile,0.6,25.6511083333333
2025-03-23,inc hosp,0,06,0-0.99,quantile,0.65,27.8115416666667
2025-03-23,inc hosp,0,06,0-0.99,quantile,0.7,31.9682416666667
2025-03-23,inc hosp,0,06,0-0.99,quantile,0.75,34.759075
2025-03-23,inc hosp,0,06,0-0.99,quantile,0.8,40.6953416666667
2025-03-23,inc hosp,0,06,0-0.99,quantile,0.85,48.095975
2025-03-23,inc hosp,0,06,0-0.99,quantile,0.9,63.1139416666667
2025-03-23,inc hosp,0,06,0-0.99,quantile,0.95,90.4772416666667
2025-03-23,inc hosp,0,06,0-0.99,quantile,0.975,108.049641666667
2025-03-23,inc hosp,0,06,0-0.99,quantile,0.99,146.517175
2025-03-23,inc hosp,0,06,0-0.99,point,NaN,20.4897083333333
2025-03-23,inc hosp,1,06,0-0.99,quantile,0.01,0
2025-03-23,inc hosp,1,06,0-0.99,quantile,0.025,0
2025-03-23,inc hosp,1,06,0-0.99,quantile,0.05,0
2025-03-23,inc hosp,1,06,0-0.99,quantile,0.1,1.10490833333333
2025-03-23,inc hosp,1,06,0-0.99,quantile,0.15,3.376975
2025-03-23,inc hosp,1,06,0-0.99,quantile,0.2,5.49800833333333
2025-03-23,inc hosp,1,06,0-0.99,quantile,0.25,7.139675
2025-03-23,inc hosp,1,06,0-0.99,quantile,0.3,9.94364166666667
2025-03-23,inc hosp,1,06,0-0.99,quantile,0.35,11.2504083333333
2025-03-23,inc hosp,1,06,0-0.99,quantile,0.4,13.2138416666667
2025-03-23,inc hosp,1,06,0-0.99,quantile,0.45,14.724175
2025-03-23,inc hosp,1,06,0-0.99,quantile,0.5,17.1407083333333
2025-03-23,inc hosp,1,06,0-0.99,quantile,0.55,18.3621083333333
2025-03-23,inc hosp,1,06,0-0.99,quantile,0.6,20.5816416666667
2025-03-23,inc hosp,1,06,0-0.99,quantile,0.65,23.214875
2025-03-23,inc hosp,1,06,0-0.99,quantile,0.7,26.4325416666667
2025-03-23,inc hosp,1,06,0-0.99,quantile,0.75,30.7665416666667
2025-03-23,inc hosp,1,06,0-0.99,quantile,0.8,35.3435083333333
2025-03-23,inc hosp,1,06,0-0.99,quantile,0.85,40.038675
2025-03-23,inc hosp,1,06,0-0.99,quantile,0.9,56.9741083333333
2025-03-23,inc hosp,1,06,0-0.99,quantile,0.95,87.6273083333333
2025-03-23,inc hosp,1,06,0-0.99,quantile,0.975,104.411708333333
2025-03-23,inc hosp,1,06,0-0.99,quantile,0.99,146.050941666667
2025-03-23,inc hosp,1,06,0-0.99,point,NaN,17.1407083333333
2025-03-23,inc hosp,2,06,0-0.99,quantile,0.01,0
2025-03-23,inc hosp,2,06,0-0.99,quantile,0.025,0
2025-03-23,inc hosp,2,06,0-0.99,quantile,0.05,0
2025-03-23,inc hosp,2,06,0-0.99,quantile,0.1,0
2025-03-23,inc hosp,2,06,0-0.99,quantile,0.15,0.280791666666664
2025-03-23,inc hosp,2,06,0-0.99,quantile,0.2,1.830525
2025-03-23,inc hosp,2,06,0-0.99,quantile,0.25,3.51159166666666
2025-03-23,inc hosp,2,06,0-0.99,quantile,0.3,5.36339166666667
2025-03-23,inc hosp,2,06,0-0.99,quantile,0.35,7.09699166666666
2025-03-23,inc hosp,2,06,0-0.99,quantile,0.4,9.17205833333333
2025-03-23,inc hosp,2,06,0-0.99,quantile,0.45,11.4900916666667
2025-03-23,inc hosp,2,06,0-0.99,quantile,0.5,13.2827916666667
2025-03-23,inc hosp,2,06,0-0.99,quantile,0.55,14.438525
2025-03-23,inc hosp,2,06,0-0.99,quantile,0.6,17.0651916666667
2025-03-23,inc hosp,2,06,0-0.99,quantile,0.65,19.6458916666667
2025-03-23,inc hosp,2,06,0-0.99,quantile,0.7,22.6796916666667
2025-03-23,inc hosp,2,06,0-0.99,quantile,0.75,26.041825
2025-03-23,inc hosp,2,06,0-0.99,quantile,0.8,29.5221583333333
2025-03-23,inc hosp,2,06,0-0.99,quantile,0.85,34.552225
2025-03-23,inc hosp,2,06,0-0.99,quantile,0.9,54.547725
2025-03-23,inc hosp,2,06,0-0.99,quantile,0.95,79.625825
2025-03-23,inc hosp,2,06,0-0.99,quantile,0.975,103.101658333333
2025-03-23,inc hosp,2,06,0-0.99,quantile,0.99,155.490525
