origin_date,target,horizon,location,age_group,output_type,output_type_id,value
2025-05-04,inc hosp,0,06,0-0.99,quantile,0.01,0
2025-05-04,inc hosp,0,06,0-0.99,quantile,0.025,0
2025-05-04,inc hosp,0,06,0-0.99,quantile,0.05,2.3568375
2025-05-04,inc hosp,0,06,0-0.99,quantile,0.1,3.60450416666666
2025-05-04,inc hosp,0,06,0-0.99,quantile,0.15,5.1345375
2025-05-04,inc hosp,0,06,0-0.99,quantile,0.2,5.8043375
2025-05-04,inc hosp,0,06,0-0.99,quantile,0.25,6.78277083333333
2025-05-04,inc hosp,0,06,0-0.99,quantile,0.3,7.70210416666666
2025-05-04,inc hosp,0,06,0-0.99,quantile,0.35,8.27340416666667
2025-05-04,inc hosp,0,06,0-0.99,quantile,0.4,8.72650416666667
2025-05-04,inc hosp,0,06,0-0.99,quantile,0.45,9.6458375
2025-05-04,inc hosp,0,06,0-0.99,quantile,0.5,10.6571041666667
2025-05-04,inc hosp,0,06,0-0.99,quantile,0.55,11.6158375
2025-05-04,inc hosp,0,06,0-0.99,quantile,0.6,12.9554375
2025-05-04,inc hosp,0,06,0-0.99,quantile,0.65,13.8353708333333
2025-05-04,inc hosp,0,06,0-0.99,quantile,0.7,14.8926041666667
2025-05-04,inc hosp,0,06,0-0.99,quantile,0.75,16.9676708333333
2025-05-04,inc hosp,0,06,0-0.99,quantile,0.8,19.2397375
2025-05-04,inc hosp,0,06,0-0.99,quantile,0.85,23.0549708333333
2025-05-04,inc hosp,0,06,0-0.99,quantile,0.9,29.0503375
2025-05-04,inc hosp,0,06,0-0.99,quantile,0.95,40.3318708333333
2025-05-04,inc hosp,0,06,0-0.99,quantile,0.975,54.2794708333333
2025-05-04,inc hosp,0,06,0-0.99,quantile,0.99,64.0112708333333
2025-05-04,inc hosp,0,06,0-0.99,point,NaN,10.6571041666667
2025-05-04,inc hosp,1,06,0-0.99,quantile,0.01,0
2025-05-04,inc hosp,1,06,0-0.99,quantile,0.025,0
2025-05-04,inc hosp,1,06,0-0.99,quantile,0.05,1.58443333333333
2025-05-04,inc hosp,1,06,0-0.99,quantile,0.1,2.85836666666667
2025-05-04,inc hosp,1,06,0-0.99,quantile,0.15,3.88276666666667
2025-05-04,inc hosp,1,06,0-0.99,quantile,0.2,4.8021
2025-05-04,inc hosp,1,06,0-0.99,quantile,0.25,5.89873333333333
2025-05-04,inc hosp,1,06,0-0.99,quantile,0.3,6.60793333333333
2025-05-04,inc hosp,1,06,0-0.99,quantile,0.35,7.5995
2025-05-04,inc hosp,1,06,0-0.99,quantile,0.4,8.11826666666667
2025-05-04,inc hosp,1,06,0-0.99,quantile,0.45,8.91283333333333
2025-05-04,inc hosp,1,06,0-0.99,quantile,0.5,9.7665
2025-05-04,inc hosp,1,06,0-0.99,quantile,0.55,10.7909
2025-05-04,inc hosp,1,06,0-0.99,quantile,0.6,12.1764666666667
2025-05-04,inc hosp,1,06,0-0.99,quantile,0.65,13.6342666666667
2025-05-04,inc hosp,1,06,0-0.99,quantile,0.7,15.1249
2025-05-04,inc hosp,1,06,0-0.99,quantile,0.75,17.5283
2025-05-04,inc hosp,1,06,0-0.99,quantile,0.8,19.5377
2025-05-04,inc hosp,1,06,0-0.99,quantile,0.85,24.6334333333333
2025-05-04,inc hosp,1,06,0-0.99,quantile,0.9,32.1654
2025-05-04,inc hosp,1,06,0-0.99,quantile,0.95,46.5595333333333
2025-05-04,inc hosp,1,06,0-0.99,quantile,0.975,65.1366333333333
2025-05-04,inc hosp,1,06,0-0.99,quantile,0.99,103.131366666667
2025-05-04,inc hosp,1,06,0-0.99,point,NaN,9.7665
2025-05-04,inc hosp,2,06,0-0.99,quantile,0.01,0
2025-05-04,inc hosp,2,06,0-0.99,quantile,0.025,0
2025-05-04,inc hosp,2,06,0-0.99,quantile,0.05,0.780837499999999
2025-05-04,inc hosp,2,06,0-0.99,quantile,0.1,1.87747083333333
2025-05-04,inc hosp,2,06,0-0.99,quantile,0.15,2.81650416666667
2025-05-04,inc hosp,2,06,0-0.99,quantile,0.2,3.84090416666667
2025-05-04,inc hosp,2,06,0-0.99,quantile,0.25,4.6617375
2025-05-04,inc hosp,2,06,0-0.99,quantile,0.3,5.8240375
2025-05-04,inc hosp,2,06,0-0.99,quantile,0.35,6.5332375
2025-05-04,inc hosp,2,06,0-0.99,quantile,0.4,7.2818375
2025-05-04,inc hosp,2,06,0-0.99,quantile,0.45,7.99760416666667
2025-05-04,inc hosp,2,06,0-0.99,quantile,0.5,9.17960416666667
2025-05-04,inc hosp,2,06,0-0.99,quantile,0.55,10.1843041666667
2025-05-04,inc hosp,2,06,0-0.99,quantile,0.6,11.4319708333333
2025-05-04,inc hosp,2,06,0-0.99,quantile,0.65,14.2162375
2025-05-04,inc hosp,2,06,0-0.99,quantile,0.7,16.2584708333333
2025-05-04,inc hosp,2,06,0-0.99,quantile,0.75,18.8326041666667
2025-05-04,inc hosp,2,06,0-0.99,quantile,0.8,22.2538375
2025-05-04,inc hosp,2,06,0-0.99,quantile,0.85,26.0428041666667
2025-05-04,inc hosp,2,06,0-0.99,quantile,0.9,34.9340708333333
2025-05-04,inc hosp,2,06,0-0.99,quantile,0.95,53.7804041666667
2025-05-04,inc hosp,2,06,0-0.99,quantile,0.975,88.1569041666667
2025-05-04,inc hosp,2,06,0-0.99,quantile,0.99,148.005504166667
2025-05-04,inc hosp,2,06,0-0.99,point,NaN,9.17960416666667
2025-05-04,inc hosp,3,06,0-0.99,quantile,0.01,0
2025-05-04,inc hosp,3,06,0-0.99,quantile,0.025,0
2025-05-04,inc hosp,3,06,0-0.99,quantile,0.05,0
2025-05-04,inc hosp,3,06,0-0.99,quantile,0.1,1.02955
2025-05-04,inc hosp,3,06,0-0.99,quantile,0.15,2.05395
2025-05-04,inc hosp,3,06,0-0.99,quantile,0.2,2.86165
2025-05-04,inc hosp,3,06,0-0.99,quantile,0.25,4.10275
2025-05-04,inc hosp,3,06,0-0.99,quantile,0.3,5.00238333333333
2025-05-04,inc hosp,3,06,0-0.99,quantile,0.35,5.80351666666667
2025-05-04,inc hosp,3,06,0-0.99,quantile,0.4,6.78851666666667
2025-05-04,inc hosp,3,06,0-0.99,quantile,0.45,7.36638333333333
2025-05-04,inc hosp,3,06,0-0.99,quantile,0.5,8.76508333333333
2025-05-04,inc hosp,3,06,0-0.99,quantile,0.55,10.2622833333333
2025-05-04,inc hosp,3,06,0-0.99,quantile,0.6,11.3983166666667
2025-05-04,inc hosp,3,06,0-0.99,quantile,0.65,14.2022833333333
2025-05-04,inc hosp,3,06,0-0.99,quantile,0.7,17.49875
2025-05-04,inc hosp,3,06,0-0.99,quantile,0.75,20.43405
2025-05-04,inc hosp,3,06,0-0.99,quantile,0.8,24.4594166666667
2025-05-04,inc hosp,3,06,0-0.99,quantile,0.85,28.3403166666667
2025-05-04,inc hosp,3,06,0-0.99,quantile,0.9,40.86295
2025-05-04,inc hosp,3,06,0-0.99,quantile,0.95,65.3434833333333
