origin_date,target,horizon,location,age_group,output_type,output_type_id,value
2024-03-24,inc hosp,0,06,0-0.99,quantile,0.01,0
2024-03-24,inc hosp,0,06,0-0.99,quantile,0.025,0
2024-03-24,inc hosp,0,06,0-0.99,quantile,0.05,0
2024-03-24,inc hosp,0,06,0-0.99,quantile,0.1,0
2024-03-24,inc hosp,0,06,0-0.99,quantile,0.15,0
2024-03-24,inc hosp,0,06,0-0.99,quantile,0.2,0
2024-03-24,inc hosp,0,06,0-0.99,quantile,0.25,1.02520833333333
2024-03-24,inc hosp,0,06,0-0.99,quantile,0.3,4.27570833333333
2024-03-24,inc hosp,0,06,0-0.99,quantile,0.35,6.63970833333333
2024-03-24,inc hosp,0,06,0-0.99,quantile,0.4,9.81633333333333
2024-03-24,inc hosp,0,06,0-0.99,quantile,0.45,14.9137083333333
2024-03-24,inc hosp,0,06,0-0.99,quantile,0.5,18.5828333333333
2024-03-24,inc hosp,0,06,0-0.99,quantile,0.55,21.1274166666667
2024-03-24,inc hosp,0,06,0-0.99,quantile,0.6,23.7705
2024-03-24,inc hosp,0,06,0-0.99,quantile,0.65,26.28225
2024-03-24,inc hosp,0,06,0-0.99,quantile,0.7,28.94175
2024-03-24,inc hosp,0,06,0-0.99,quantile,0.75,34.6711666666667
2024-03-24,inc hosp,0,06,0-0.99,quantile,0.8,40.76175
2024-03-24,inc hosp,0,06,0-0.99,quantile,0.85,46.524
2024-03-24,inc hosp,0,06,0-0.99,quantile,0.9,54.6830833333333
2024-03-24,inc hosp,0,06,0-0.99,quantile,0.95,69.6550833333333
2024-03-24,inc hosp,0,06,0-0.99,quantile,0.975,110.286333333333
2024-03-24,inc hosp,0,06,0-0.99,quantile,0.99,126.5345410725
2024-03-24,inc hosp,0,06,0-0.99,point,NaN,18.5828333333333
2024-03-24,inc hosp,1,06,0-0.99,quantile,0.01,0
2024-03-24,inc hosp,1,06,0-0.99,quantile,0.025,0
2024-03-24,inc hosp,1,06,0-0.99,quantile,0.05,0
2024-03-24,inc hosp,1,06,0-0.99,quantile,0.1,0
2024-03-24,inc hosp,1,06,0-0.99,quantile,0.15,0
2024-03-24,inc hosp,1,06,0-0.99,quantile,0.2,0
2024-03-24,inc hosp,1,06,0-0.99,quantile,0.25,1.59979166666666
2024-03-24,inc hosp,1,06,0-0.99,quantile,0.3,4.89954166666667
2024-03-24,inc hosp,1,06,0-0.99,quantile,0.35,8.81491666666667
2024-03-24,inc hosp,1,06,0-0.99,quantile,0.4,13.0750416666667
2024-03-24,inc hosp,1,06,0-0.99,quantile,0.45,17.9754166666667
2024-03-24,inc hosp,1,06,0-0.99,quantile,0.5,23.0481666666667
2024-03-24,inc hosp,1,06,0-0.99,quantile,0.55,27.6776666666667
2024-03-24,inc hosp,1,06,0-0.99,quantile,0.6,30.8296666666667
2024-03-24,inc hosp,1,06,0-0.99,quantile,0.65,35.93525
2024-03-24,inc hosp,1,06,0-0.99,quantile,0.7,43.175
2024-03-24,inc hosp,1,06,0-0.99,quantile,0.75,48.7074166666667
2024-03-24,inc hosp,1,06,0-0.99,quantile,0.8,54.74875
2024-03-24,inc hosp,1,06,0-0.99,quantile,0.85,62.7108333333333
2024-03-24,inc hosp,1,06,0-0.99,quantile,0.9,76.1725
2024-03-24,inc hosp,1,06,0-0.99,quantile,0.95,117.772333333333
2024-03-24,inc hosp,1,06,0-0.99,quantile,0.975,124.61735105625
2024-03-24,inc hosp,1,06,0-0.99,quantile,0.99,126.5345410725
2024-03-24,inc hosp,1,06,0-0.99,point,NaN,23.0481666666667
2024-03-24,inc hosp,2,06,0-0.99,quantile,0.01,0
2024-03-24,inc hosp,2,06,0-0.99,quantile,0.025,0
2024-03-24,inc hosp,2,06,0-0.99,quantile,0.05,0
