origin_date,target,horizon,location,age_group,output_type,output_type_id,value
2024-04-28,inc hosp,0,06,0-0.99,quantile,0.01,0
2024-04-28,inc hosp,0,06,0-0.99,quantile,0.025,0
2024-04-28,inc hosp,0,06,0-0.99,quantile,0.05,0
2024-04-28,inc hosp,0,06,0-0.99,quantile,0.1,7.03435633333333
2024-04-28,inc hosp,0,06,0-0.99,quantile,0.15,7.23956466666666
2024-04-28,inc hosp,0,06,0-0.99,quantile,0.2,7.48581466666667
2024-04-28,inc hosp,0,06,0-0.99,quantile,0.25,7.97831466666667
2024-04-28,inc hosp,0,06,0-0.99,quantile,0.3,8.9838355
2024-04-28,inc hosp,0,06,0-0.99,quantile,0.35,10.3382105
2024-04-28,inc hosp,0,06,0-0.99,quantile,0.4,11.9388355
2024-04-28,inc hosp,0,06,0-0.99,quantile,0.45,14.2987313333333
2024-04-28,inc hosp,0,06,0-0.99,quantile,0.5,16.7201896666667
2024-04-28,inc hosp,0,06,0-0.99,quantile,0.55,19.067773
2024-04-28,inc hosp,0,06,0-0.99,quantile,0.6,21.9078563333333
2024-04-28,inc hosp,0,06,0-0.99,quantile,0.65,25.8314396666667
2024-04-28,inc hosp,0,06,0-0.99,quantile,0.7,29.9684396666667
2024-04-28,inc hosp,0,06,0-0.99,quantile,0.75,36.0261896666667
2024-04-28,inc hosp,0,06,0-0.99,quantile,0.8,43.2166896666667
2024-04-28,inc hosp,0,06,0-0.99,quantile,0.85,49.159523
2024-04-28,inc hosp,0,06,0-0.99,quantile,0.9,57.5157004875
2024-04-28,inc hosp,0,06,0-0.99,quantile,0.95,60.71101718125
2024-04-28,inc hosp,0,06,0-0.99,quantile,0.975,62.308675528125
2024-04-28,inc hosp,0,06,0-0.99,quantile,0.99,63.26727053625
2024-04-28,inc hosp,0,06,0-0.99,point,NaN,16.7201896666667
2024-04-28,inc hosp,1,06,0-0.99,quantile,0.01,0
2024-04-28,inc hosp,1,06,0-0.99,quantile,0.025,0
2024-04-28,inc hosp,1,06,0-0.99,quantile,0.05,0
2024-04-28,inc hosp,1,06,0-0.99,quantile,0.1,7.16568966666667
2024-04-28,inc hosp,1,06,0-0.99,quantile,0.15,7.45298133333333
2024-04-28,inc hosp,1,06,0-0.99,quantile,0.2,7.863398
2024-04-28,inc hosp,1,06,0-0.99,quantile,0.25,8.64318966666666
2024-04-28,inc hosp,1,06,0-0.99,quantile,0.3,9.66923133333333
2024-04-28,inc hosp,1,06,0-0.99,quantile,0.35,10.8594396666667
2024-04-28,inc hosp,1,06,0-0.99,quantile,0.4,13.4450646666667
2024-04-28,inc hosp,1,06,0-0.99,quantile,0.45,14.7378771666667
2024-04-28,inc hosp,1,06,0-0.99,quantile,0.5,17.1798563333333
2024-04-28,inc hosp,1,06,0-0.99,quantile,0.55,21.136273
2024-04-28,inc hosp,1,06,0-0.99,quantile,0.6,23.7301063333333
2024-04-28,inc hosp,1,06,0-0.99,quantile,0.65,28.917773
2024-04-28,inc hosp,1,06,0-0.99,quantile,0.7,33.5801063333333
2024-04-28,inc hosp,1,06,0-0.99,quantile,0.75,44.5464396666667
2024-04-28,inc hosp,1,06,0-0.99,quantile,0.8,51.1250671
2024-04-28,inc hosp,1,06,0-0.99,quantile,0.85,54.32038379375
2024-04-28,inc hosp,1,06,0-0.99,quantile,0.9,57.5157004875
2024-04-28,inc hosp,1,06,0-0.99,quantile,0.95,60.71101718125
2024-04-28,inc hosp,1,06,0-0.99,quantile,0.975,62.308675528125
2024-04-28,inc hosp,1,06,0-0.99,quantile,0.99,63.26727053625
2024-04-28,inc hosp,1,06,0-0.99,point,NaN,17.1798563333333
2024-04-28,inc hosp,2,06,0-0.99,quantile,0.01,0
2024-04-28,inc hosp,2,06,0-0.99,quantile,0.025,0
2024-04-28,inc hosp,2,06,0-0.99,quantile,0.05,0
2024-04-28,inc hosp,2,06,0-0.99,quantile,0.1,6.6937105
2024-04-28,inc hosp,2,06,0-0.99,quantile,0.15,7.1862105
2024-04-28,inc hosp,2,06,0-0.99,quantile,0.2,7.94548133333333
2024-04-28,inc hosp,2,06,0-0.99,quantile,0.25,8.70475216666667
2024-04-28,inc hosp,2,06,0-0.99,quantile,0.3,10.2232938333333
2024-04-28,inc hosp,2,06,0-0.99,quantile,0.35,11.7623563333333
